match_id,season,competition,date,home,away,running_score,scoring_team,scorer,assist,detail
1002779,2000-01,Ligue 1,sam. 29/07/2000,Lyon,Stade Rennais,0:1,Stade Rennais FC,Grégory Coupet,,"Grégory Coupet , Contre-son-camp Passe décisive:"
1002779,2000-01,Ligue 1,sam. 29/07/2000,Lyon,Stade Rennais,0:2,Stade Rennais FC,Stéphane Grégoire,,"Stéphane Grégoire , 1. But de la saison Passe décisive:"
1002779,2000-01,Ligue 1,sam. 29/07/2000,Lyon,Stade Rennais,1:2,Olympique Lyonnais,Tony Vairelles,,"Tony Vairelles , 1. But de la saison Passe décisive:"
1002779,2000-01,Ligue 1,sam. 29/07/2000,Lyon,Stade Rennais,2:2,Olympique Lyonnais,Sonny Anderson,,"Sonny Anderson , 1. But de la saison Passe décisive:"
1002782,2000-01,Ligue 1,jeu. 03/08/2000,CS Sedan,Lyon,0:1,Olympique Lyonnais,Steve Marlet,,"Steve Marlet , 1. But de la saison Passe décisive:"
1002782,2000-01,Ligue 1,jeu. 03/08/2000,CS Sedan,Lyon,1:1,CS Sedan-Ardennes,Pius N'Diefi,,"Pius N'Diefi , 1. But de la saison Passe décisive:"
1160559,2000-01,UEFA Champions League Qualification,lun. 07/08/2000,Inter Bratislava,Lyon,0:1,Olympique Lyonnais,Sonny Anderson,,"Sonny Anderson , 1. But dans le tournoi"
1160559,2000-01,UEFA Champions League Qualification,lun. 07/08/2000,Inter Bratislava,Lyon,1:1,ASK Inter Slovnaft Bratislava,Szilárd Németh,,"Szilárd Németh , 2. But dans le tournoi"
1160559,2000-01,UEFA Champions League Qualification,lun. 07/08/2000,Inter Bratislava,Lyon,1:2,Olympique Lyonnais,Christophe Delmotte,,"Christophe Delmotte , 1. But dans le tournoi"
1002800,2000-01,Ligue 1,ven. 18/08/2000,SC Bastia,Lyon,1:0,SC Bastia,Yann Lachuer,Frédéric Née,"Yann Lachuer , 1. But de la saison Passe décisive: Frédéric Née , 1. Passe décisive de la saison"
1002800,2000-01,Ligue 1,ven. 18/08/2000,SC Bastia,Lyon,2:0,SC Bastia,Pierre-Yves André,Lilian Nalis,"Pierre-Yves André , 1. But de la saison Passe décisive: Lilian Nalis , 1. Passe décisive de la saison"
1160573,2000-01,UEFA Champions League Qualification,mer. 23/08/2000,Lyon,Inter Bratislava,0:1,ASK Inter Slovnaft Bratislava,Attila Pinte,,"Attila Pinte , 1. But dans le tournoi"
1160573,2000-01,UEFA Champions League Qualification,mer. 23/08/2000,Lyon,Inter Bratislava,1:1,Olympique Lyonnais,Steve Marlet,,"Steve Marlet , 1. But dans le tournoi"
1160573,2000-01,UEFA Champions League Qualification,mer. 23/08/2000,Lyon,Inter Bratislava,2:1,Olympique Lyonnais,Steed Malbranque,,"Steed Malbranque , 1. But dans le tournoi"
1002811,2000-01,Ligue 1,sam. 26/08/2000,Lyon,Troyes,1:0,Olympique Lyonnais,Marc-Vivien Foé,,"Marc-Vivien Foé , 1. But de la saison Passe décisive:"
1002824,2000-01,Ligue 1,mer. 06/09/2000,Saint-Étienne,Lyon,0:1,Olympique Lyonnais,Sonny Anderson,Steve Marlet,"Sonny Anderson , 2. But de la saison Passe décisive: Steve Marlet , 1. Passe décisive de la saison"
1002824,2000-01,Ligue 1,mer. 06/09/2000,Saint-Étienne,Lyon,1:1,AS Saint-Étienne,Stéphane Pédron,,"Stéphane Pédron , 2. But de la saison Passe décisive:"
1002824,2000-01,Ligue 1,mer. 06/09/2000,Saint-Étienne,Lyon,1:2,Olympique Lyonnais,Steve Marlet,Sonny Anderson,"Steve Marlet , 2. But de la saison Passe décisive: Sonny Anderson , 1. Passe décisive de la saison"
1002824,2000-01,Ligue 1,mer. 06/09/2000,Saint-Étienne,Lyon,2:2,AS Saint-Étienne,Lionel Potillon,Stéphane Pédron,"Lionel Potillon , 1. But de la saison Passe décisive: Stéphane Pédron , 1. Passe décisive de la saison"
1002832,2000-01,Ligue 1,sam. 09/09/2000,Lyon,RC Lens,1:0,Olympique Lyonnais,Sonny Anderson,,"Sonny Anderson , 3. But de la saison Passe décisive:"
